symbol,entry_timestamp,exit_timestamp,size,entry_price,exit_price,gross_pnl,net_pnl,return_pct,total_commission
SOLUSDT,2020-11-07 00:00:00+00:00,2020-11-07 16:00:00+00:00,4673.552367154274,2.14076985,1.89055425,-1169.3957096789259,-1178.8160118240864,-11.78226898374899,9.420302145160537
SOLUSDT,2020-11-07 20:00:00+00:00,2020-11-12 12:00:00+00:00,4363.682408199808,2.02251075,1.9044473000000002,-515.1913998163765,-523.7593986966383,-5.934550855910147,8.567998880261811
SOLUSDT,2020-11-13 00:00:00+00:00,2020-11-13 16:00:00+00:00,4246.596340385525,1.9548769499999998,2.0145922,253.58656211520764,245.15819553237603,2.95315341587102,8.42836658283162
SOLUSDT,2020-11-16 16:00:00+00:00,2020-11-26 04:00:00+00:00,3809.911151998774,2.2433210999999997,1.8288851000000002,-1578.9643381897624,-1586.7217100970718,-18.56497953413801,7.757371907309275
SOLUSDT,2020-12-02 08:00:00+00:00,2020-12-04 08:00:00+00:00,3332.3086494752224,2.0884437,1.9497246500000003,-462.25469016198497,-468.982901822356,-6.738900080236768,6.728211660371045
SOLUSDT,2021-01-01 16:00:00+00:00,2021-01-21 20:00:00+00:00,3759.2015374896982,1.7264628,2.9884050500000003,4743.895246423211,4735.03317718782,72.95754163223211,8.862069235390374
SOLUSDT,2021-01-25 16:00:00+00:00,2021-02-16 16:00:00+00:00,2882.587040914473,3.8949464999999996,8.13762915,12229.902025602678,12212.559552283921,108.77341607067007,17.34247331875652
SOLUSDT,2021-02-19 16:00:00+00:00,2021-02-28 12:00:00+00:00,2043.1811835254903,11.475334799999999,11.515539350000001,82.14518005211407,58.65791932407277,0.2501810485302975,23.4872607280413
SOLUSDT,2021-03-09 12:00:00+00:00,2021-03-16 00:00:00+00:00,1601.6586325257729,14.675333999999998,13.49474925,-1890.8937562657777,-1913.4531847739438,-8.140665088951284,22.559428508166086
SOLUSDT,2021-03-20 12:00:00+00:00,2021-03-24 20:00:00+00:00,1469.1944933050627,14.695444049999999,13.590501350000002,-1623.3757302576234,-1644.1545078674274,-7.615187869739786,20.778777609803836
SOLUSDT,2021-03-28 00:00:00+00:00,2021-04-15 00:00:00+00:00,1157.520997366638,17.2312113,25.70164275,9804.702260129741,9779.854420109865,49.03291402952619,24.847840019876152
SOLUSDT,2021-04-19 04:00:00+00:00,2021-05-06 00:00:00+00:00,965.5027780186088,30.792488549999998,44.17190300000001,12917.861819737325,12881.672655590326,43.32852874999286,36.18916414699986
SOLUSDT,2021-05-16 12:00:00+00:00,2021-05-19 16:00:00+00:00,878.4707817064724,48.514245,40.8365715,-6744.611841232072,-6783.8578820405055,-15.917693675847175,39.246040808433285
SOLUSDT,2021-05-20 08:00:00+00:00,2021-05-21 04:00:00+00:00,828.2804552224048,43.259619,43.9390195,562.7341554183294,526.6216914225524,1.469733657964024,36.11246399577696
SOLUSDT,2021-06-03 20:00:00+00:00,2021-06-04 00:00:00+00:00,917.6256758327582,39.621801,38.82058000000001,-735.2209616163902,-771.2113330559181,-2.121161000480496,35.99037143952786
SOLUSDT,2021-06-05 00:00:00+00:00,2021-06-07 20:00:00+00:00,858.1085809716037,41.470725,38.2158825,-2793.008278961069,-2827.198159803202,-7.944606234277317,34.18988084213308
SOLUSDT,2021-06-08 16:00:00+00:00,2021-06-11 12:00:00+00:00,795.7565322996663,41.1655725,37.7811,-2693.2161002635835,-2724.6272654361824,-8.317498405372598,31.41116517259872
SOLUSDT,2021-06-16 00:00:00+00:00,2021-06-18 12:00:00+00:00,768.8526230381802,39.060520499999996,35.53622300000001,-2709.665377241892,-2738.342328196933,-9.118147495627943,28.67695095504066
SOLUSDT,2021-06-29 12:00:00+00:00,2021-06-29 16:00:00+00:00,773.198212240268,35.29764,34.7776025,-402.092065297899,-429.1830914095506,-1.572555902462603,27.09102611165163
SOLUSDT,2021-06-30 20:00:00+00:00,2021-07-01 00:00:00+00:00,756.1039097839231,35.527755,33.777103,-1323.6748218710463,-1349.875658921456,-5.025097783409063,26.2008370504098
SOLUSDT,2021-07-07 08:00:00+00:00,2021-07-08 04:00:00+00:00,690.1235264149409,36.967474499999994,34.1659085,-1933.4266074041961,-1957.9720179650885,-7.674672749148701,24.5454105608923
SOLUSDT,2021-07-29 16:00:00+00:00,2021-08-25 12:00:00+00:00,750.5627980086264,31.380682499999995,71.26934750000001,29938.94801122878,29900.425364362545,126.94860918018603,38.52264686623472
SOLUSDT,2021-08-27 16:00:00+00:00,2021-09-13 16:00:00+00:00,624.0288127499196,85.68281999999999,163.99796000000003,48870.90383454376,48792.99983418882,91.2555161116313,77.90400035493694
SOLUSDT,2021-10-01 08:00:00+00:00,2021-10-06 08:00:00+00:00,667.067906551559,153.33662999999999,152.83354500000002,-335.5918577674712,-437.71000661035845,-0.42792781313895467,102.11814884288724
SOLUSDT,2021-10-06 12:00:00+00:00,2021-10-06 20:00:00+00:00,633.2241686456928,160.84037999999998,153.793065,-4462.5301820593,-4562.146932878428,-4.479367508644265,99.61675081912765
SOLUSDT,2021-10-07 04:00:00+00:00,2021-10-07 20:00:00+00:00,613.5859810601573,158.54923499999998,154.18287,-2679.1403521917177,-2775.0843699194343,-2.8525719802432183,95.94401772771657
SOLUSDT,2021-10-15 20:00:00+00:00,2021-10-28 16:00:00+00:00,578.869261237184,163.26158999999998,198.1009,20167.405641713245,20062.81482290068,21.228893308585327,104.59081881256463
SOLUSDT,2021-11-02 04:00:00+00:00,2021-11-11 00:00:00+00:00,562.9587615965412,203.531715,238.92048,19922.415318831027,19797.87414894959,17.27865306028597,124.54116988143568
SOLUSDT,2021-11-23 16:00:00+00:00,2021-11-24 00:00:00+00:00,598.229969360593,224.64226499999998,217.021435,-4559.008897402278,-4691.1171282616215,-3.4907330773218406,132.10823085934308
SOLUSDT,2021-12-01 08:00:00+00:00,2021-12-03 16:00:00+00:00,585.7899493527605,221.40064499999997,212.64362500000001,-5129.774302281084,-5256.903687751162,-4.053304422396762,127.12938547007795
