symbol,entry_timestamp,exit_timestamp,size,entry_price,exit_price,gross_pnl,net_pnl,return_pct,total_commission
XRPUSDT,2025-05-18 12:00:00+00:00,2025-05-19 07:00:00+00:00,4182.875308487054,2.3918953499999995,2.30434725,-366.2027857949528,-376.0246844020553,-3.7583676601904585,9.821898607102522
XRPUSDT,2025-05-20 03:00:00+00:00,2025-05-20 12:00:00+00:00,4039.6135475142482,2.3835912,2.3339324500000003,-200.6021592526226,-210.13064547625206,-2.1823168261822694,9.528486223629432
XRPUSDT,2025-05-21 05:00:00+00:00,2025-05-21 12:00:00+00:00,3952.4077043083776,2.3829909,2.3532228,-117.65566778262075,-127.0153915411862,-1.348566075094942,9.359723758565444
XRPUSDT,2025-05-21 14:00:00+00:00,2025-05-23 17:00:00+00:00,3869.3509764511928,2.40130005,2.3657165499999997,-137.6850504705527,-146.90768063853724,-1.581102215860131,9.222630167984523
XRPUSDT,2025-05-26 06:00:00+00:00,2025-05-27 00:00:00+00:00,3896.29192511807,2.3469729,2.3016486,-176.59670410162846,-185.6528973083186,-2.0302156343603235,9.056193206690125
XRPUSDT,2025-05-27 20:00:00+00:00,2025-05-28 07:00:00+00:00,3842.7039312649777,2.3313650999999997,2.2945521500000003,-141.46126768645877,-150.34928288759951,-1.678240298999046,8.888015201140737
XRPUSDT,2025-06-01 00:00:00+00:00,2025-06-01 12:00:00+00:00,4052.8101172701977,2.17338615,2.1309340000000003,-172.05050301986986,-180.77279914581484,-2.0522956804063313,8.722296125944988
XRPUSDT,2025-06-02 00:00:00+00:00,2025-06-02 12:00:00+00:00,3972.5188273829804,2.17178535,2.1511239000000004,-82.07799912603019,-90.66441831837672,-1.0508821520966392,8.58641919234652
XRPUSDT,2025-06-02 23:00:00+00:00,2025-06-05 00:00:00+00:00,3884.5810153798584,2.19759825,2.2091948500000003,45.047932202955195,36.48865979547172,0.42743042091521005,8.559272407483478
XRPUSDT,2025-06-06 23:00:00+00:00,2025-06-12 01:00:00+00:00,3967.4834985078837,2.1608799,2.2558715,376.8776054968622,368.1159113486064,4.293770528385228,8.761694148255796
XRPUSDT,2025-06-14 15:00:00+00:00,2025-06-15 02:00:00+00:00,4158.5253228914125,2.1501745499999996,2.1448270500000004,-22.237714164158387,-31.168150621887953,-0.34857638883313796,8.930436457729567
XRPUSDT,2025-06-15 10:00:00+00:00,2025-06-17 16:00:00+00:00,4117.011196747433,2.1642816,2.14762565,-68.57273264246393,-77.44881785625715,-0.8691985194994793,8.876085213793218
