,equity
2020-09-22 04:00:00+00:00,10000.0
2020-09-22 08:00:00+00:00,10000.0
2020-09-22 12:00:00+00:00,10000.0
2020-09-22 16:00:00+00:00,10000.0
2020-09-22 20:00:00+00:00,10000.0
2020-09-23 00:00:00+00:00,10000.0
2020-09-23 04:00:00+00:00,10000.0
2020-09-23 08:00:00+00:00,10000.0
2020-09-23 12:00:00+00:00,10000.0
2020-09-23 16:00:00+00:00,10000.0
2020-09-23 20:00:00+00:00,10000.0
2020-09-24 00:00:00+00:00,10000.0
2020-09-24 04:00:00+00:00,10000.0
2020-09-24 08:00:00+00:00,10000.0
2020-09-24 12:00:00+00:00,10000.0
2020-09-24 16:00:00+00:00,10000.0
2020-09-24 20:00:00+00:00,10000.0
2020-09-25 00:00:00+00:00,10000.0
2020-09-25 04:00:00+00:00,10000.0
2020-09-25 08:00:00+00:00,10000.0
2020-09-25 12:00:00+00:00,10000.0
2020-09-25 16:00:00+00:00,10000.0
2020-09-25 20:00:00+00:00,10000.0
2020-09-26 00:00:00+00:00,10000.0
2020-09-26 04:00:00+00:00,10000.0
2020-09-26 08:00:00+00:00,10000.0
2020-09-26 12:00:00+00:00,10000.0
2020-09-26 16:00:00+00:00,10000.0
2020-09-26 20:00:00+00:00,10000.0
2020-09-27 00:00:00+00:00,10000.0
2020-09-27 04:00:00+00:00,10000.0
2020-09-27 08:00:00+00:00,10000.0
2020-09-27 12:00:00+00:00,10000.0
2020-09-27 16:00:00+00:00,10000.0
2020-09-27 20:00:00+00:00,10000.0
2020-09-28 00:00:00+00:00,10000.0
2020-09-28 04:00:00+00:00,10000.0
2020-09-28 08:00:00+00:00,10000.0
2020-09-28 12:00:00+00:00,10000.0
2020-09-28 16:00:00+00:00,10000.0
2020-09-28 20:00:00+00:00,9994.9975
2020-09-29 00:00:00+00:00,10092.08931123724
2020-09-29 04:00:00+00:00,10072.09930623974
2020-09-29 08:00:00+00:00,10110.413482484948
2020-09-29 12:00:00+00:00,9678.24861253897
2020-09-29 16:00:00+00:00,9611.615262547299
2020-09-29 20:00:00+00:00,9840.786391268653
2020-09-30 00:00:00+00:00,9754.16303627948
2020-09-30 04:00:00+00:00,9587.579661300304
2020-09-30 08:00:00+00:00,9648.977533792628
2020-09-30 12:00:00+00:00,10160.205656576474
2020-09-30 16:00:00+00:00,10160.205656576474
2020-09-30 20:00:00+00:00,10160.205656576474
2020-10-01 00:00:00+00:00,10160.205656576474
2020-10-01 04:00:00+00:00,10160.205656576474
2020-10-01 08:00:00+00:00,10160.205656576474
2020-10-01 12:00:00+00:00,10160.205656576474
2020-10-01 16:00:00+00:00,10160.205656576474
2020-10-01 20:00:00+00:00,10160.205656576474
2020-10-02 00:00:00+00:00,10160.205656576474
2020-10-02 04:00:00+00:00,10155.123013696772
2020-10-02 08:00:00+00:00,9679.796772147582
2020-10-02 12:00:00+00:00,9990.886647790701
2020-10-02 16:00:00+00:00,9907.310263289566
2020-10-02 20:00:00+00:00,10079.622068372157
2020-10-03 00:00:00+00:00,10274.633632208142
2020-10-03 04:00:00+00:00,10113.929658306264
2020-10-03 08:00:00+00:00,10393.456059295919
2020-10-03 12:00:00+00:00,10393.456059295919
2020-10-03 16:00:00+00:00,10393.456059295919
2020-10-03 20:00:00+00:00,10393.456059295919
2020-10-04 00:00:00+00:00,10393.456059295919
2020-10-04 04:00:00+00:00,10393.456059295919
2020-10-04 08:00:00+00:00,10393.456059295919
2020-10-04 12:00:00+00:00,10393.456059295919
2020-10-04 16:00:00+00:00,10393.456059295919
2020-10-04 20:00:00+00:00,10393.456059295919
2020-10-05 00:00:00+00:00,10393.456059295919
2020-10-05 04:00:00+00:00,10393.456059295919
2020-10-05 08:00:00+00:00,10393.456059295919
2020-10-05 12:00:00+00:00,10393.456059295919
2020-10-05 16:00:00+00:00,10393.456059295919
2020-10-05 20:00:00+00:00,10393.456059295919
2020-10-06 00:00:00+00:00,10393.456059295919
2020-10-06 04:00:00+00:00,10388.256732902257
2020-10-06 08:00:00+00:00,10075.891770986917
2020-10-06 12:00:00+00:00,10469.625598058577
2020-10-06 16:00:00+00:00,9955.537672073522
2020-10-06 20:00:00+00:00,9881.53805209197
2020-10-07 00:00:00+00:00,9402.355607230287
2020-10-07 04:00:00+00:00,9497.857003583838
2020-10-07 08:00:00+00:00,9095.187373344594
2020-10-07 12:00:00+00:00,9210.51508297622
2020-10-07 16:00:00+00:00,9381.412318556262
2020-10-07 20:00:00+00:00,9601.177227709028
2020-10-08 00:00:00+00:00,9650.04490128175
2020-10-08 04:00:00+00:00,9483.336323436515
2020-10-08 08:00:00+00:00,9598.384789219155
2020-10-08 12:00:00+00:00,10716.632591389409
2020-10-08 16:00:00+00:00,10716.632591389409
2020-10-08 20:00:00+00:00,10716.632591389409
2020-10-09 00:00:00+00:00,10716.632591389409
2020-10-09 04:00:00+00:00,10716.632591389409
2020-10-09 08:00:00+00:00,10716.632591389409
2020-10-09 12:00:00+00:00,10716.632591389409
2020-10-09 16:00:00+00:00,10716.632591389409
2020-10-09 20:00:00+00:00,10716.632591389409
2020-10-10 00:00:00+00:00,10716.632591389409
2020-10-10 04:00:00+00:00,10716.632591389409
2020-10-10 08:00:00+00:00,10716.632591389409
2020-10-10 12:00:00+00:00,10716.632591389409
2020-10-10 16:00:00+00:00,10716.632591389409
2020-10-10 20:00:00+00:00,10716.632591389409
2020-10-11 00:00:00+00:00,10716.632591389409
2020-10-11 04:00:00+00:00,10716.632591389409
2020-10-11 08:00:00+00:00,10716.632591389409
2020-10-11 12:00:00+00:00,10716.632591389409
