symbol,entry_timestamp,exit_timestamp,size,entry_price,exit_price,gross_pnl,net_pnl,return_pct,total_commission
XRPUSDT,2020-02-14 04:00:00+00:00,2020-02-16 16:00:00+00:00,31460.39136726861,0.31801893,0.28801592,-943.9064367960736,-953.4394835776756,-9.529630020766373,9.533046781601964
XRPUSDT,2020-02-16 20:00:00+00:00,2020-02-17 16:00:00+00:00,30955.928402759113,0.29238611999999997,0.28393796,-261.5206360950529,-270.4409595736859,-2.9879400704794,8.920323478633009
XRPUSDT,2020-08-02 04:00:00+00:00,2020-08-02 12:00:00+00:00,28769.44617881868,0.30520252499999995,0.27304341,-925.1999281509394,-933.517835803491,-10.631706919036784,8.317907652551591
XRPUSDT,2020-08-02 16:00:00+00:00,2020-08-09 04:00:00+00:00,27225.58397918888,0.28820402999999994,0.294202825,163.3206970464399,155.39251367601102,1.9803996399703565,7.928183370428889
XRPUSDT,2020-11-21 12:00:00+00:00,2020-11-21 16:00:00+00:00,18730.665655084682,0.42721349999999997,0.39502096214285715,-602.9876631907985,-610.6881625910415,-7.631700563819788,7.700499400243119
XRPUSDT,2020-11-21 20:00:00+00:00,2020-11-22 00:00:00+00:00,15961.165162435704,0.463061415,0.4178738157142858,-721.246735493246,-728.2771118506655,-9.853567026540388,7.030376357419559
XRPUSDT,2020-11-22 04:00:00+00:00,2020-12-05 04:00:00+00:00,14829.478354443816,0.44926451999999995,0.579280215,1928.0649347404706,1920.4385437983408,28.825205834749678,7.6263909421298255
XRPUSDT,2020-12-18 00:00:00+00:00,2020-12-21 12:00:00+00:00,14542.456275133556,0.59025498,0.5054714235714286,-1232.961162212818,-1240.9284388695414,-14.456704732987955,7.967276656723422
XRPUSDT,2020-12-21 16:00:00+00:00,2020-12-22 04:00:00+00:00,14151.764627445715,0.51881928,0.47324326000000005,-644.9811076957576,-652.0008254766506,-8.88017331776875,7.019717780892976
XRPUSDT,2020-12-22 08:00:00+00:00,2020-12-22 12:00:00+00:00,13764.256653557299,0.48603289499999996,0.479989885,-83.17754060001273,-89.8258333385642,-1.3427118734422203,6.64829273855146
