symbol,source,strategy,tag,params,initial_cash,final_equity,total_return_pct,max_drawdown_abs,max_drawdown_pct,annualized_return_pct,annualized_vol_pct,sharpe,n_trades,win_rate_pct,avg_profit_per_trade,profit_factor
BNBUSDT,binance,SmaCross,batch_SmaCross,"{'fast': 15, 'slow': 50}",10000.0,12027.243459339958,20.27243459339958,6872.296233371104,-37.71569457058642,0.7034939173181654,5.829525279921774,0.1202569095544964,96,41.66666666666667,17.929335953390076,1.1351369957220798
BNBUSDT,binance,MeanRevertBands,batch_MeanRevert,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,7824.680450513985,-21.753195494860144,3447.277874052442,-32.14131041106004,-0.5994141508298578,4.559486849753564,-0.1318592852215473,179,64.80446927374301,-12.152623181486147,0.7881160753959724
BNBUSDT,binance,SmaCrossATR,batch_SmaCrossATR,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,9609.51446368712,-3.904855363128812,5291.706678867979,-36.65954547818462,0.0193288270376124,5.174978472550337,0.0037346950864652,104,37.5,-5.786702002961986,0.9447424652017036
BNBUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,11535.954148292289,15.359541482922868,4617.243237069657,-29.91610592774101,0.5392242595122276,5.03186492896717,0.1068751638705681,102,31.37254901960784,12.180662272814695,1.1337494249891116
BTCUSDT,binance,SmaCross,batch_SmaCross,"{'fast': 15, 'slow': 50}",10000.0,7282.319940280807,-27.17680059719193,4531.237434226573,-39.91162899809706,-0.798597970676107,4.702317322468115,-0.1705097791389588,101,32.67326732673268,-26.907723363556432,0.7157481457904925
BTCUSDT,binance,MeanRevertBands,batch_MeanRevert,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,6447.780523338441,-35.52219476661559,4179.322364949096,-40.21532757774444,-1.1856190895950691,3.73298928157901,-0.319496063545806,189,55.55555555555556,-18.79481204582825,0.6063652698970406
BTCUSDT,binance,SmaCrossATR,batch_SmaCrossATR,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,6649.808756757311,-33.501912432426884,4238.891975630078,-39.8817506989414,-1.0795533024539838,4.204893866672685,-0.2581276528876646,128,28.90625,-26.173369087833592,0.624462803609939
BTCUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,7537.616067534401,-24.623839324656,3732.872703080332,-34.4622821425549,-0.7391400635297751,3.778401840021816,-0.1963460611652515,123,20.32520325203252,-20.01938156476105,0.676315906368139
DOGEUSDT,binance,SmaCross,batch_SmaCross,"{'fast': 15, 'slow': 50}",10000.0,4024.97361339114,-59.7502638660886,9361.762691578248,-71.47688387206303,-2.20202880766982,8.854323034389125,-0.2514632665689802,110,25.454545454545453,-54.77239621329265,0.6834600203262289
DOGEUSDT,binance,MeanRevertBands,batch_MeanRevert,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,4841.506151356257,-51.58493848643744,5314.241470401581,-53.11181124159445,-1.800235395675942,7.297763396981248,-0.2489216485557144,182,56.59340659340659,-28.343372794745783,0.6415147842778709
DOGEUSDT,binance,SmaCrossATR,batch_SmaCrossATR,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,4004.5082014841255,-59.95491798515875,7540.866584582092,-66.58295913415664,-2.3310045747187536,7.411901101752432,-0.3182033586053563,112,20.535714285714285,-53.53117677246309,0.6115767548530757
DOGEUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,7669.548330604275,-23.304516693957243,7928.057760705158,-52.329165638345664,-0.5065288674615864,7.15413974662346,-0.0709814142429998,113,16.8141592920354,-21.50745331962549,0.8512317828993109
ETHUSDT,binance,SmaCross,batch_SmaCross,"{'fast': 15, 'slow': 50}",10000.0,7817.328904214927,-21.826710957850725,7871.382597304112,-51.16413633484164,-0.4397389070876167,7.322899490409091,-0.0601817284754902,102,34.31372549019608,-21.398736233186906,0.875589007158759
ETHUSDT,binance,MeanRevertBands,batch_MeanRevert,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,6333.520509424748,-36.66479490575253,4793.467224197056,-43.38339296959275,-1.1381436122895994,5.808893101844079,-0.1970502842632545,178,62.35955056179775,-20.598199385254134,0.7358063683512281
ETHUSDT,binance,SmaCrossATR,batch_SmaCrossATR,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,7091.45459004039,-29.0854540995961,7446.910644302141,-51.39901972368117,-0.7901297145129882,6.261773802505517,-0.1266822021508282,111,31.53153153153153,-26.203111801437792,0.801743083445268
ETHUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,7693.998773677078,-23.060012263229225,6221.248928546938,-44.70814362544636,-0.575534490364149,5.952856762845954,-0.0969602470099183,128,18.75,-18.015634580647795,0.8403274548607338
SOLUSDT,binance,SmaCross,batch_SmaCross,"{'fast': 15, 'slow': 50}",10000.0,4613.146169169115,-53.86853830830886,8525.821001375367,-66.66186383347062,-1.8847885201647483,8.03402599804654,-0.2368308509144344,103,31.06796116504854,-52.29955175563973,0.6704905268916009
SOLUSDT,binance,MeanRevertBands,batch_MeanRevert,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,3956.763290153895,-60.43236709846105,6617.791866733141,-63.08716381024495,-2.4256966059049923,6.495327483242868,-0.3780381483352067,181,55.24861878453039,-33.38804812069671,0.5568132225328113
SOLUSDT,binance,SmaCrossATR,batch_SmaCrossATR,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,5271.538686736806,-47.28461313263194,6023.824360760352,-53.96977284259019,-1.607240248549413,6.658219706718572,-0.2433449813713313,104,28.846153846153843,-45.46597416599231,0.6255524590819058
