symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
ADAUSDT,1h,5,30,210.1,-73.93,0.101,1090,23.58,1.03
ADAUSDT,1h,5,50,56.74,-83.32,0.072,920,21.2,1.015
ADAUSDT,1h,5,75,226.72,-68.02,0.103,824,19.3,1.048
ADAUSDT,1h,5,100,257.37,-78.4,0.107,783,15.58,1.047
ADAUSDT,1h,5,150,101.06,-83.63,0.085,737,14.25,1.026
ADAUSDT,1h,10,30,70.56,-77.11,0.074,979,25.03,1.017
ADAUSDT,1h,10,50,77.03,-77.41,0.077,818,21.52,1.021
ADAUSDT,1h,10,75,511.74,-68.55,0.129,737,18.86,1.074
ADAUSDT,1h,10,100,439.08,-77.33,0.124,694,15.99,1.057
ADAUSDT,1h,10,150,58.66,-87.66,0.076,676,13.17,1.017
ADAUSDT,1h,15,30,28.98,-80.19,0.062,954,25.58,1.008
ADAUSDT,1h,15,50,227.88,-74.36,0.103,781,22.79,1.057
ADAUSDT,1h,15,75,541.05,-67.07,0.131,705,18.3,1.08
ADAUSDT,1h,15,100,348.49,-78.45,0.116,671,16.39,1.057
ADAUSDT,1h,15,150,141.14,-86.55,0.092,645,14.42,1.033
ADAUSDT,1h,20,30,-70.61,-89.53,-0.004,976,25.92,0.948
ADAUSDT,1h,20,50,63.53,-82.01,0.074,773,22.77,1.021
ADAUSDT,1h,20,75,204.67,-72.33,0.101,684,18.27,1.043
ADAUSDT,1h,20,100,434.19,-81.58,0.123,656,17.07,1.059
ADAUSDT,1h,20,150,132.81,-86.44,0.091,624,13.62,1.034
ADAUSDT,1h,30,50,286.4,-79.28,0.111,779,23.36,1.059
ADAUSDT,1h,30,75,410.38,-75.96,0.122,681,19.53,1.089
ADAUSDT,1h,30,100,699.36,-78.92,0.14,631,15.69,1.091
ADAUSDT,1h,30,150,69.58,-86.44,0.078,620,15.16,1.025
ADAUSDT,1h,40,50,835.98,-71.85,0.149,815,26.63,1.094
ADAUSDT,1h,40,75,443.45,-75.02,0.124,669,19.13,1.068
ADAUSDT,1h,40,100,244.18,-81.82,0.106,632,16.93,1.053
ADAUSDT,1h,40,150,48.53,-85.5,0.073,613,15.33,1.02
