symbol,entry_timestamp,exit_timestamp,size,entry_price,exit_price,gross_pnl,net_pnl,return_pct,total_commission
DOGEUSDT,2020-01-03 16:00:00+00:00,2020-01-08 22:00:00+00:00,4938515.482246037,0.00202591245,0.0020998495500000004,365.13951306237595,354.9519433058448,3.547745560278309,10.187569756531186
DOGEUSDT,2020-01-10 03:00:00+00:00,2020-01-13 12:00:00+00:00,4868794.40629389,0.0021278634,0.0021864062500000004,285.0331006085046,274.53045463892283,2.6498747605227138,10.502645969581751
DOGEUSDT,2020-01-14 10:00:00+00:00,2020-01-16 10:00:00+00:00,4794750.506538305,0.00221800845,0.0023240374,508.382361720224,497.49337340022015,4.677977086832102,10.888988320003854
DOGEUSDT,2020-01-17 14:00:00+00:00,2020-01-19 17:00:00+00:00,4722624.579323878,0.0023572780499999998,0.00237471205,82.33423691593342,71.16053053824479,0.6392120331328838,11.173706377688626
DOGEUSDT,2020-01-21 15:00:00+00:00,2020-01-21 16:00:00+00:00,4713615.482545452,0.00237688785,0.0023700144000000003,-32.39880033850027,-43.58633630836519,-0.3890339683043786,11.187535969864921
DOGEUSDT,2020-01-25 01:00:00+00:00,2020-01-25 09:00:00+00:00,4984159.948871701,0.002239119,0.00225317285,70.04663629745083,58.85148573874445,0.527337049750373,11.19515055870638
DOGEUSDT,2020-01-26 08:00:00+00:00,2020-01-30 01:00:00+00:00,4955980.487630871,0.0022637313,0.00237871005,569.832441492188,558.3285171194026,4.9766299262196,11.50392437278536
DOGEUSDT,2020-01-31 01:00:00+00:00,2020-01-31 17:00:00+00:00,4838956.7017852655,0.00243391635,0.002374812,-286.0033905371611,-297.6380046753098,-2.5271498823285294,11.63461413814865
DOGEUSDT,2020-02-02 01:00:00+00:00,2020-02-03 18:00:00+00:00,4760243.927878237,0.0024116052,0.0024241873,59.89386512495756,48.3840891826555,0.4214704691298628,11.50977594230206
DOGEUSDT,2020-02-04 21:00:00+00:00,2020-02-10 07:00:00+00:00,4615267.184547128,0.0024978482999999997,0.0030893545500000003,2729.9593850795327,2717.066168096026,23.568791130149926,12.893216983506594
