symbol,entry_timestamp,exit_timestamp,size,entry_price,exit_price,gross_pnl,net_pnl,return_pct,total_commission
DOGEUSDT,2021-01-02 20:00:00+00:00,2021-01-04 09:00:00+00:00,1099396.4313591837,0.00910044795,0.008536329700000001,-620.1895909145865,-629.8844961191292,-6.295697112634974,9.694905204542707
DOGEUSDT,2021-01-28 12:00:00+00:00,2021-01-30 11:00:00+00:00,793882.4783638655,0.01180880145,0.032730026800000006,16608.994231266934,16591.314933589667,176.97779088219835,17.679297677266277
DOGEUSDT,2021-01-31 23:00:00+00:00,2021-02-02 06:00:00+00:00,701660.2820937984,0.037018499999999996,0.03465636315,-1657.4176085151528,-1682.5633108635845,-6.477772685481571,25.145702348431698
DOGEUSDT,2021-02-03 22:00:00+00:00,2021-02-05 21:00:00+00:00,672183.5669088344,0.0361374597,0.046404785999999996,6901.5280149508835,6873.786244383238,28.297659165981713,27.7417705676457
DOGEUSDT,2021-02-06 11:00:00+00:00,2021-02-09 20:00:00+00:00,637329.2424506996,0.04890444,0.07140927749999999,14342.991035351091,14304.65131013574,45.89497526451584,38.33972521535124
DOGEUSDT,2021-02-11 14:00:00+00:00,2021-02-11 18:00:00+00:00,629049.3081725342,0.07229963175,0.0692719467,-1904.56318606682,-1949.090937807253,-4.2855969860800744,44.52775174043308
DOGEUSDT,2021-02-13 06:00:00+00:00,2021-02-13 11:00:00+00:00,626792.1610064622,0.06944880705,0.06606863487142858,-2118.665424380703,-2161.136059518703,-4.9647086047853675,42.47063513799998
DOGEUSDT,2021-02-13 12:00:00+00:00,2021-02-13 21:00:00+00:00,603963.1795073295,0.06849382979999999,0.06648674,-1212.2083371647218,-1252.9699842187813,-3.0288568925955817,40.76164705405951
DOGEUSDT,2021-02-18 19:00:00+00:00,2021-02-19 15:00:00+00:00,682383.206814303,0.058785378,0.05393399094285715,-3310.505057550543,-3348.9639597751984,-8.348584135351278,38.4589022246557
DOGEUSDT,2021-02-19 16:00:00+00:00,2021-02-20 02:00:00+00:00,675559.0643475716,0.054419396099999996,0.05394951175,-317.4346318375655,-354.0394308333226,-0.9630184116008559,36.6047989957571
DOGEUSDT,2021-02-20 19:00:00+00:00,2021-02-20 22:00:00+00:00,651629.6390087196,0.05587422315,0.051946713650000004,-2559.281597688314,-2594.4112567505967,-7.125682906966727,35.12965906228298
DOGEUSDT,2021-02-20 23:00:00+00:00,2021-02-21 10:00:00+00:00,623891.3409479287,0.05419788539999999,0.0548337694,396.72252144733903,362.7105687878672,1.0726768550272816,34.01195265947183
DOGEUSDT,2021-02-22 03:00:00+00:00,2021-02-22 14:00:00+00:00,605180.3281248991,0.056473222499999996,0.0528167784,-2212.8080402083488,-2245.878119511065,-6.571413735863925,33.07007930271626
DOGEUSDT,2021-02-22 15:00:00+00:00,2021-02-22 18:00:00+00:00,606949.4886192685,0.0526064901,0.0525972882,-5.585088499324728,-37.511778219324675,-0.11748320222944979,31.92668971999995
DOGEUSDT,2021-02-24 11:00:00+00:00,2021-02-25 22:00:00+00:00,598599.345050413,0.053277625499999995,0.051486943650000006,-1071.9009826036556,-1103.256983842495,-3.4593586280886135,31.356001238839355
DOGEUSDT,2021-03-08 06:00:00+00:00,2021-03-08 09:00:00+00:00,541363.0984136518,0.05687152155,0.05411704222857143,-1491.173459964903,-1521.2160163527274,-4.940915113107,30.04255638782432
DOGEUSDT,2021-03-08 10:00:00+00:00,2021-03-10 04:00:00+00:00,531906.1552954027,0.0550212969,0.05589333935,463.84474683388294,434.3466579670201,1.484125562069401,29.49808886686281
DOGEUSDT,2021-03-13 23:00:00+00:00,2021-03-14 00:00:00+00:00,472786.5203100427,0.0628205946,0.05975967664285715,-1447.1607499120946,-1476.1378998618804,-4.9700390654441255,28.97714994978581
DOGEUSDT,2021-03-14 01:00:00+00:00,2021-03-15 06:00:00+00:00,464817.09476337873,0.060720344999999995,0.056966274042857146,-1744.9563558347156,-1772.3077320127284,-6.279467395424512,27.351376178012693
DOGEUSDT,2021-04-01 10:00:00+00:00,2021-04-01 14:00:00+00:00,419944.5592407342,0.0629860773,0.060028656371428575,-1241.9528283382492,-1267.7825123941313,-4.793008907394107,25.82968405588219
DOGEUSDT,2021-04-01 15:00:00+00:00,2021-04-03 01:00:00+00:00,424010.0274049054,0.059390680499999994,0.05917989525,-89.37505962904602,-114.51261616563248,-0.45473555042864183,25.137556536586455
DOGEUSDT,2021-04-06 09:00:00+00:00,2021-04-07 18:00:00+00:00,420617.7298126824,0.05959728375,0.0589914895,-254.80780216857642,-279.7480724614194,-1.1159713912716696,24.94027029284298
DOGEUSDT,2021-04-10 18:00:00+00:00,2021-04-12 23:00:00+00:00,385491.1186477537,0.06430183484999999,0.07069893285,2466.024464119315,2440.0036656398256,9.843572319383073,26.02079847948927
