symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
AVAXUSDT,1h,5,30,265.45,-73.86,0.114,949,27.08,1.048
AVAXUSDT,1h,5,50,909.11,-64.91,0.156,767,22.82,1.086
AVAXUSDT,1h,5,75,1526.04,-62.54,0.174,657,21.16,1.129
AVAXUSDT,1h,5,100,1743.0,-64.97,0.178,623,18.3,1.118
AVAXUSDT,1h,5,150,1185.42,-76.51,0.163,586,15.02,1.094
AVAXUSDT,1h,10,30,273.54,-65.41,0.115,849,26.15,1.059
AVAXUSDT,1h,10,50,1014.77,-65.08,0.161,674,25.22,1.091
AVAXUSDT,1h,10,75,1216.88,-66.54,0.166,592,21.28,1.116
AVAXUSDT,1h,10,100,1301.06,-69.75,0.167,569,17.75,1.104
AVAXUSDT,1h,10,150,888.54,-80.45,0.153,530,15.85,1.074
AVAXUSDT,1h,15,30,110.62,-72.07,0.091,815,27.12,1.029
AVAXUSDT,1h,15,50,726.22,-66.98,0.148,633,24.33,1.086
AVAXUSDT,1h,15,75,1252.76,-68.98,0.167,567,21.34,1.102
AVAXUSDT,1h,15,100,1361.78,-73.44,0.169,543,17.68,1.107
AVAXUSDT,1h,15,150,910.57,-80.09,0.154,516,17.25,1.079
AVAXUSDT,1h,20,30,33.56,-80.71,0.071,826,27.85,1.013
AVAXUSDT,1h,20,50,671.74,-65.86,0.146,615,24.07,1.096
AVAXUSDT,1h,20,75,791.95,-69.41,0.15,562,20.28,1.09
AVAXUSDT,1h,20,100,902.03,-78.45,0.154,534,17.42,1.084
AVAXUSDT,1h,20,150,660.24,-84.03,0.143,515,16.7,1.059
AVAXUSDT,1h,30,50,531.67,-67.81,0.137,633,27.49,1.107
AVAXUSDT,1h,30,75,385.01,-76.97,0.126,560,20.0,1.094
AVAXUSDT,1h,30,100,1125.01,-69.46,0.162,507,18.93,1.11
AVAXUSDT,1h,30,150,432.03,-80.23,0.13,504,16.87,1.067
AVAXUSDT,1h,40,50,384.08,-75.02,0.126,695,27.19,1.071
AVAXUSDT,1h,40,75,822.58,-67.05,0.152,548,20.8,1.094
AVAXUSDT,1h,40,100,1357.66,-71.23,0.169,493,19.07,1.137
AVAXUSDT,1h,40,150,482.23,-81.21,0.133,500,16.6,1.06
