symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
XRPUSDT,1h,5,30,211.39,-81.46,0.101,1144,21.94,1.061
XRPUSDT,1h,5,50,347.77,-85.15,0.116,968,18.39,1.076
XRPUSDT,1h,5,75,183.07,-88.57,0.098,892,16.14,1.038
XRPUSDT,1h,5,100,398.96,-85.83,0.12,783,13.79,1.06
XRPUSDT,1h,5,150,253.55,-83.88,0.107,697,14.06,1.077
XRPUSDT,1h,10,30,549.2,-73.57,0.132,989,24.27,1.102
XRPUSDT,1h,10,50,1001.59,-77.37,0.154,840,20.6,1.116
XRPUSDT,1h,10,75,391.81,-83.11,0.12,777,16.86,1.069
XRPUSDT,1h,10,100,409.4,-80.5,0.121,711,14.49,1.071
XRPUSDT,1h,10,150,186.8,-85.24,0.099,646,14.4,1.064
XRPUSDT,1h,15,30,1046.79,-63.29,0.156,953,24.66,1.135
XRPUSDT,1h,15,50,462.13,-81.99,0.126,805,20.5,1.091
XRPUSDT,1h,15,75,445.47,-83.0,0.124,725,17.24,1.085
XRPUSDT,1h,15,100,308.9,-85.24,0.113,686,15.31,1.065
XRPUSDT,1h,15,150,202.01,-81.03,0.101,621,15.14,1.074
XRPUSDT,1h,20,30,414.1,-76.31,0.123,998,26.05,1.097
XRPUSDT,1h,20,50,183.66,-89.02,0.097,797,19.7,1.047
XRPUSDT,1h,20,75,458.91,-86.41,0.125,720,16.53,1.084
XRPUSDT,1h,20,100,218.98,-86.19,0.103,662,15.26,1.052
XRPUSDT,1h,20,150,240.99,-80.14,0.106,606,15.68,1.082
XRPUSDT,1h,30,50,177.18,-91.45,0.096,799,21.15,1.044
XRPUSDT,1h,30,75,637.04,-81.82,0.137,689,18.43,1.105
XRPUSDT,1h,30,100,496.03,-83.96,0.128,629,16.22,1.1
XRPUSDT,1h,30,150,206.87,-82.24,0.101,593,15.35,1.062
XRPUSDT,1h,40,50,25.77,-94.74,0.063,861,24.39,1.009
XRPUSDT,1h,40,75,292.51,-87.55,0.111,686,19.1,1.07
XRPUSDT,1h,40,100,635.33,-79.42,0.136,626,17.25,1.118
XRPUSDT,1h,40,150,203.82,-82.77,0.101,588,17.69,1.068
