symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
BNBUSDT,4h,40,50,1295.69,-58.19,0.361,204,30.39,1.262
BNBUSDT,4h,40,75,1425.9,-64.14,0.364,169,27.22,1.293
BNBUSDT,4h,40,100,1440.55,-55.96,0.359,153,22.88,1.356
BNBUSDT,4h,40,150,2185.92,-58.53,0.393,141,19.86,1.469
BTCUSDT,4h,5,30,487.89,-39.86,0.333,279,27.24,1.38
BTCUSDT,4h,5,50,588.51,-38.5,0.353,217,26.73,1.489
BTCUSDT,4h,5,75,360.79,-43.17,0.286,196,20.41,1.419
BTCUSDT,4h,5,100,487.09,-50.24,0.314,184,19.02,1.494
BTCUSDT,4h,5,150,1117.64,-44.33,0.406,141,19.86,1.774
BTCUSDT,4h,10,30,390.46,-46.65,0.305,243,27.16,1.377
BTCUSDT,4h,10,50,703.48,-41.45,0.374,187,27.27,1.598
BTCUSDT,4h,10,75,519.82,-47.67,0.329,168,22.02,1.499
BTCUSDT,4h,10,100,918.33,-43.46,0.393,152,22.37,1.748
BTCUSDT,4h,10,150,840.95,-42.7,0.373,135,19.26,1.661
BTCUSDT,4h,15,30,433.11,-50.4,0.317,229,32.75,1.401
BTCUSDT,4h,15,50,426.61,-48.13,0.31,182,24.18,1.463
BTCUSDT,4h,15,75,469.07,-49.94,0.316,158,21.52,1.479
BTCUSDT,4h,15,100,966.88,-43.37,0.401,143,21.68,1.748
BTCUSDT,4h,15,150,919.63,-43.12,0.385,123,19.51,1.673
BTCUSDT,4h,20,30,220.77,-48.11,0.238,249,32.13,1.288
BTCUSDT,4h,20,50,486.56,-48.55,0.327,168,25.6,1.487
BTCUSDT,4h,20,75,467.84,-47.7,0.315,151,21.85,1.419
BTCUSDT,4h,20,100,1071.98,-42.1,0.413,135,22.22,1.772
BTCUSDT,4h,20,150,879.46,-44.78,0.38,120,19.17,1.645
BTCUSDT,4h,30,50,766.96,-40.64,0.385,172,26.16,1.492
BTCUSDT,4h,30,75,812.24,-44.33,0.385,140,22.14,1.581
BTCUSDT,4h,30,100,1232.72,-45.31,0.431,127,20.47,1.665
BTCUSDT,4h,30,150,806.48,-46.33,0.372,116,24.14,1.671
BTCUSDT,4h,40,50,853.45,-39.23,0.397,182,29.67,1.419
BTCUSDT,4h,40,75,770.76,-40.34,0.378,136,25.0,1.487
BTCUSDT,4h,40,100,703.22,-47.63,0.36,134,20.9,1.552
BTCUSDT,4h,40,150,572.47,-43.51,0.331,124,19.35,1.519
DOGEUSDT,4h,5,30,26276.5,-70.26,0.437,231,23.38,1.398
DOGEUSDT,4h,5,50,20576.88,-77.83,0.423,201,22.89,1.49
DOGEUSDT,4h,5,75,10824.15,-84.31,0.39,187,21.93,1.435
DOGEUSDT,4h,5,100,22784.92,-79.02,0.426,154,22.08,1.457
DOGEUSDT,4h,5,150,8401.04,-83.33,0.377,154,16.88,1.304
DOGEUSDT,4h,10,30,16353.59,-72.26,0.413,207,29.47,1.426
DOGEUSDT,4h,10,50,28871.99,-76.54,0.44,170,25.29,1.579
DOGEUSDT,4h,10,75,15284.29,-74.92,0.407,153,20.92,1.392
DOGEUSDT,4h,10,100,20509.26,-76.82,0.421,134,21.64,1.531
DOGEUSDT,4h,10,150,6239.49,-83.19,0.363,134,20.9,1.347
DOGEUSDT,4h,15,30,20078.91,-72.47,0.424,204,26.96,1.356
DOGEUSDT,4h,15,50,16384.46,-72.39,0.412,160,27.5,1.46
DOGEUSDT,4h,15,75,19886.71,-71.57,0.42,147,22.45,1.45
DOGEUSDT,4h,15,100,9896.91,-81.51,0.385,139,20.86,1.412
DOGEUSDT,4h,15,150,5508.88,-81.42,0.357,128,21.09,1.38
DOGEUSDT,4h,20,30,25004.05,-70.26,0.435,215,28.37,1.45
DOGEUSDT,4h,20,50,12741.2,-75.05,0.399,165,29.09,1.469
DOGEUSDT,4h,20,75,12962.24,-74.17,0.399,145,22.07,1.455
DOGEUSDT,4h,20,100,15329.19,-75.66,0.406,136,20.59,1.504
DOGEUSDT,4h,20,150,5620.28,-81.49,0.358,128,21.88,1.383
DOGEUSDT,4h,30,50,12098.96,-77.82,0.397,167,28.74,1.399
DOGEUSDT,4h,30,75,4523.08,-80.5,0.347,143,25.87,1.426
DOGEUSDT,4h,30,100,19265.75,-74.18,0.418,130,24.62,1.512
DOGEUSDT,4h,30,150,5496.99,-78.85,0.357,127,21.26,1.359
DOGEUSDT,4h,40,50,6209.77,-78.53,0.363,184,30.98,1.276
DOGEUSDT,4h,40,75,5243.76,-74.21,0.354,145,26.21,1.399
DOGEUSDT,4h,40,100,20013.22,-70.27,0.42,132,26.52,1.452
DOGEUSDT,4h,40,150,3473.79,-74.63,0.337,123,21.95,1.341
ETHUSDT,4h,5,30,1356.63,-33.76,0.397,254,33.07,1.351
ETHUSDT,4h,5,50,1527.8,-41.53,0.4,201,30.85,1.395
ETHUSDT,4h,5,75,2303.02,-43.17,0.43,170,27.65,1.402
ETHUSDT,4h,5,100,3989.7,-42.35,0.479,147,23.13,1.51
ETHUSDT,4h,5,150,3700.02,-43.62,0.461,124,20.97,1.547
ETHUSDT,4h,10,30,579.9,-43.19,0.304,230,30.87,1.292
ETHUSDT,4h,10,50,1588.41,-41.37,0.402,174,33.91,1.356
